,Date,Keyword,Platform Name,Search Url,Chinese Reviews,English Reviews,Sentiment Using TextBlob Scores,Sentiment Using ML Model
10,"January 11, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 圣诞比赛—澳大利亚对战印度—第二天从未去过板球场，所以这次能来看比赛，真是趟特别的体验。体育馆很棒，历史悠久，是一次很不错的体验。如果MT能读到我的这条评论的话，我要向你道谢！  >  >  >  >感谢 wct275 ,"The Christmas game-Australia vs. India-never went to the cricket ground the next day, so it was a special experience to watch the game this time. The stadium is great, with a long history, and it's a great experience. If MT can read this comment of mine, I would like to thank you! >>> >thanks to wct275",Positive,Positive
11,"December 3, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 关于这个地方获益匪浅的向导团在墨尔本度假时，我们去墨尔本板球场参加了向导团。我们早上9点45分到那里，买了票，10点准时出发了。我们的导游Craig非常棒，一直吸引着我们的注意。我们很高兴能够看到这个伟大的场地是如何运作的，从足球到现在为板球赛季做准备。几天前，他们还在这里举办了Bon Jovi的音乐会，我们去的时候他们正在拆除舞台等等。这个地方历史悠久，对墨尔本来说是一笔多么宝贵的财富啊，如果你有机会来，这个地方绝对值得一游。感谢 royv647 ,"We went to the Melbourne Cricket Ground to join the guide group when the guide group who benefited from this place was on vacation in Melbourne. We got there at 9:45 in the morning, bought tickets, and set off on time at 10 o'clock. Our guide Craig is very good and always attracts our attention. We are very happy to see how this great venue works, from football to now preparing for the cricket season. A few days ago, they also held a Bon Jovi concert here, they were demolishing the stage and so on when we went. This place has a long history and what a valuable asset to Melbourne. If you have the opportunity to come, this place is definitely worth a visit. Thank royv647",Positive,Positive
12,"November 15, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 大家一定要来这里看看墨尔本板球场是一个很不错的地方，来到墨尔本游玩的旅客一定要来墨尔本板球场看看。我觉得这家墨尔本板球场是全世界最好的体育场，你可以来这里参观一下，也可以来这里参加一些体育运动会。感谢 Jefferysmith13 ,"Everyone must come here to see that the Melbourne Cricket Ground is a very good place, and tourists who come to Melbourne must come to the Melbourne Cricket Ground. I think this Melbourne Cricket Ground is the best stadium in the world. You can come here to visit or participate in some sports games. Thank Jefferysmith13",Positive,Positive
13,"November 7, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 墨尔本板球场之旅在这个月4号周日那天参观了球场。彼得是我们的导游，他人非常好，我们提出的所有问题都得到了满意的答复。这里所有的导游都是志愿者，他们都完成了很棒的工作。在这里你必须穿一双合脚的旅行鞋，因为需要走很多路。这里随时都可以拍摄各种各样的照片。在场馆下方的体育博物馆中，我们与雷克斯先生作了交谈，他简直是个会走路的谷歌引擎，什么都懂。这个景点任何人都不能错过!!感谢 ChristineK686 ,"The Melbourne Cricket Ground Tour visited the stadium on Sunday, the 4th of this month. Peter is our tour guide and he is very nice. All the questions we asked have been answered satisfactorily. All the guides here are volunteers, and they have all done a great job. Here you must wear a pair of well-fitting travel shoes, because it takes a lot of walking. All kinds of photos can be taken anytime here. In the sports museum below the stadium, we talked to Mr. Rex. He is a walking Google engine and knows everything. No one can miss this attraction!! Thanks ChristineK686",Positive,Neutral
14,"October 21, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 各项体育活动包括板球和澳式橄榄球在内的粉丝一定要来这里看看！我和我先生来参观了墨尔本板球场，并且遇到了一位非常出色的导游Kevin。我们喜欢这次参观的整个过程，还有这个板球场的氛围与它的历史故事。对于任何热爱体育活动的人来说它都是一个不可错过的景点。这里还有一个博物馆，里面展示了从1956年奥运会起，以及其后的各种纪念物品。感谢 KKJHW ,"Fans of various sports activities including cricket and Australian rugby must visit here! My husband and I visited the Melbourne Cricket Ground and met a very good tour guide Kevin. We like the whole process of this visit, as well as the atmosphere of this cricket ground and its historical story. It is a must-see attraction for anyone who loves sports activities. There is also a museum here, which displays various commemorative items from the 1956 Olympic Games and thereafter. Thank KKJHW",Neutral,Positive
15,"October 3, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 墨尔本体育中心墨尔本板球场可能是世界上仅次于劳德板球场的第二大著名板球场。所以即使你不喜欢这项运动，它也是值得一去的，因为这个运动狂热的城市主宰着公园区域，在那里你可以找到墨尔本公园网球场（罗德·拉沃尔，玛格丽特球场和第2号球场主导）1956年奥运会游泳场馆和科林伍德训练的新足球场。在一个地区看到所有这些体育馆是很罕见的，如果你冒险登上尤利卡88观景台，你会很容易意识到它们对墨尔本的重要性。要到那里，从弗林德斯大街车站下车，沿着雅拉河走就到了。过得愉快。感谢 grahamc894 ,"Melbourne Sports Centre Melbourne Cricket Ground may be the second most famous cricket ground in the world after Lauder Cricket Ground. So even if you don’t like this sport, it’s worth a visit because this sports-crazy city dominates the park area, where you can find Melbourne Park Tennis Courts (Rod Laver, Margaret Stadium and Stadium No. 2 dominates) the 1956 Olympic swimming venue and the new football stadium where Collingwood trained. It is rare to see all these stadiums in one area. If you venture up to the Eureka 88 Observation Deck, you will easily realize their importance to Melbourne. To get there, get off at Flinders Street Station and walk along the Yarra River. Have a good time. Thank grahamc894",Positive,Neutral
16,"September 12, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 一点也不像在板球场观看比赛以一名墨尔本球迷的心态，想去真正体会板球场中的足球或者板球比赛，结果很不满意，简直就像巨大人潮中的一员。。。球场氛围加上噪音，很是奇特。如果想见识真正的当地人，这个地方是个不错的选择。感谢 H4918GPsarahr ,"It's not like watching a match on the cricket ground. With the mentality of a Melbourne fan, I want to really experience the football or cricket match on the cricket ground. The result is very dissatisfied, just like a member of a huge crowd. . . The atmosphere and noise of the stadium are very peculiar. If you want to meet real locals, this place is a good choice. Thank H4918GPsarahr",Positive,Positive
17,"August 24, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 意外的惊喜这次旅行，25美元的入场费是非常值得的。这次旅行只花了一个多小时。无论你是板球迷，AFL球迷，还是体育迷，它都绝不会无聊并且你会沉浸在墨尔本和维多利亚的历史中。你去的地方和房间是只有会员或体育明星经常去的地方和房间。工作人员令人愉快和友好。我们参加了典型的墨尔本毛毛雨日，这是花一天时间的最佳方式。MCC和MCG员工做的很好。感谢 gavj9 ,"Unexpected surprise for this trip, the entrance fee of $25 is very worthwhile. The trip only took more than an hour. Whether you are a cricket fan, AFL fan, or sports fan, it will never be boring and you will be immersed in the history of Melbourne and Victoria. The places and rooms you go to are places and rooms that only members or sports stars often go to. The staff are pleasant and friendly. We participated in a typical Melbourne drizzle, which is the best way to spend the day. The MCC and MCG employees are doing very well. Thank gavj9",Positive,Positive
18,"August 5, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS," 无憾的""G""Bombers V Hawks AFL 2018年8月4日的足球赛，又一天，G的表现未能留下深刻印象，Bombers表现不是很好，输掉了4分，但已经尽力了。 当人群在每一个场合咆哮时，声音就没有那么大了。 每个人一生中至少需要参加一次比赛感谢 Les_Aus ","No regrets ""G"" Bombers V Hawks AFL football game on August 4, 2018, another day, G's performance failed to impress, Bombers did not perform very well, lost 4 points, but already tried his best. When the crowd roared on every occasion, the sound was not so loud. Everyone needs to participate in at least one competition in their life. Thanks Les_Aus",Neutral,Positive
19,"July 15, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or10-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 去墨尔本板球场游玩这是我第二次游览墨尔本板球场，这一次仍然很棒。我还没在此观看过比赛，但是我敢肯定在比赛当天这里肯定非常棒。以后会找时间再来的！这已列入我的必做清单上。感谢 PrasannLeanage ,"Visiting the Melbourne Cricket Ground This is my second time visiting the Melbourne Cricket Ground and it is still great this time. I haven't watched the game here, but I'm sure it will be great on the day of the game. Will find time to come again in the future! This is on my must-do list. Thank PrasannLeanage",Neutral,Positive
20,"July 7, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 非常值得一去墨尔本板球场的澳式橄榄球非常值得一看，值回门票，你在里面绝对能玩上三小时，气氛也很棒。每一个来这里的家庭都很友好，不过这里很冷，所以别忘了多穿点衣服。感谢 robertmZ1084VC ,"It's worth going to the Australian Rugby at the Melbourne Cricket Ground. It's worth the ticket. You can definitely play for three hours in it. The atmosphere is also great. Every family who comes here is very friendly, but it's cold here, so don't forget to wear more clothes. Thank robertmZ1084VC",Positive,Positive
21,"June 23, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 乌鸦队加油！我是阿德莱德港乌鸦队的铁杆粉丝。他们是2017年的参赛队，我很幸运地搞到了在墨尔本板球场举行的2017年AFL大决赛的门票。我们输得很惨，所以我并不喜欢这场比赛，但是墨尔本板球场很棒。球场很大，大约可容纳100000名观众，气氛好的令人难以置信。这里也是观看赛前娱乐活动的好地方。感谢 ronwax ,"Come on, Ravens! I am a big fan of the Port Adelaide Ravens. They are the 2017 participating team. I was lucky enough to get tickets for the 2017 AFL Grand Final held at the Melbourne Cricket Ground. We lost badly, so I don't like this game, but the Melbourne Cricket Ground is great. The stadium is huge, with a capacity of approximately 100,000 spectators, and the atmosphere is incredible. This is also a good place to watch pre-match entertainment. Thank ronwax",Neutral,Positive
22,"June 17, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 橄榄球联赛比赛我们在MCG观看了橄榄球联赛。 这里的食物比悉尼体育场提供的食物更好。 首先，我们对我们在一层的座位感到失望。 幸运的是，比我们先到的一位非常漂亮的女士跟我们的座位更换了，换到了2层。。 2层的座位非常棒。 你们要注意 - 如果你已经要求残疾人座位的话，尽量不要做到第一层 - 非常不好。 视线局限，1层的座位跟前面的座位是持平的，这样感觉你是在山谷里一样。 去找一个高一点的位置。感谢 277kerrieg ,"We watched the Rugby League match at MCG. The food here is better than the food provided by Sydney Stadium. First of all, we were disappointed with our seats on the ground floor. Fortunately, a very beautiful lady who arrived before us changed seats with us and moved to the second floor. . The seats on the 2nd floor are great. You have to pay attention-if you have requested a seat for the disabled, try not to make it to the first floor-very bad. The line of sight is limited. The seats on the first floor are level with the seats in front, so you feel like you are in a valley. Go to a higher position. Thank 277kerrieg",Neutral,Positive
23,"June 3, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 墨尔本板球场之旅我们的导游是最棒的。他知识渊博，是真正的板球绅士。他知道所有我们问的问题的答案。很高兴还能看到不向公众开放的领域。这里的设施超级棒——墨尔本真幸运。感谢 Brownekiwi ,Our tour guide for the Melbourne Cricket Ground Tour is the best. He is very knowledgeable and a true cricket gentleman. He knows the answers to all the questions we asked. It's nice to see areas that are not open to the public. The facilities here are superb-luck in Melbourne. Thank Brownekiwi,Positive,Positive
24,"May 27, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 澳式橄榄球比赛搭乘循环有轨电车到弗林德斯站后，我们步行到了体育馆，走路只需15分钟。根据提示标志，很容易就能找到座位。这是一个观看比赛的好地方。去厕所和快餐店很方便。感谢 sandrakB5638GA ,"After the Australian Rugby game took the circular tram to Flinders Station, we walked to the stadium, which only took 15 minutes to walk. Follow the signs to find the seat easily. This is a good place to watch the game. It is convenient to go to the toilet and fast food restaurant. Thank sandrakB5638GA",Neutral,Neutral
25,"May 6, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 澳大利亚橄榄球联盟（AFL）赛和博物馆设施很棒，比赛前和比赛后有很多东西可看，有很多事情可做。博物馆真是个“必去之地”。有许多大事记可以看看，有适合每个人可以互动的东西。场地和设施都干净，工作人员友善而且乐于助人。这个地方容易进出，交通工具的选择也很棒。肯定会再去。感谢 F9953FJmaryc ,"The Australian Football League (AFL) game and museum facilities are great. There are many things to see and do before and after the game. The museum is really a ""must go"". There are many memorabilia to look at, and there are things suitable for everyone to interact with. The venue and facilities are clean, and the staff are friendly and helpful. The place is easy to get in and out, and the choice of transportation is great. Will definitely go again. Thank F9953FJmaryc",Positive,Neutral
26,"April 21, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 没有任何一个板球爱好者会给这里少于5颗星！我们订了一个带有导游的观光行程，参观了看台、更衣室、贵宾包厢、训练室、理疗室、博物馆，当然，我们还参观了场地（不是足球场！）真的很大很大。体育场外面的空地也很大。从最近的免费电车车站走过来，大约需要15分钟。感谢 Arjun311286 ,"No cricket enthusiast will give this place less than 5 stars! We booked a guided tour and visited the stands, changing rooms, VIP boxes, training rooms, physiotherapy rooms, museums, and of course, we also visited the venue (not the football field!) which is really big. The open space outside the stadium is also very large. It takes about 15 minutes to walk from the nearest free tram stop. Thank Arjun311286",Neutral,Positive
27,"April 15, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 很棒的墨尔本板球场这是一个很棒的板球场，历史悠久。也是一个很棒的澳大利亚足球场。这片土地有着大约150年的历史，和现代板球一样古老。这可能是世界上最大的板球体育场之一(在记录中这里曾容纳了121000人!)，也曾用于奥运会(田径赛道)。这里的看台和成员走廊都很不错，俯瞰时视野很好。李利、沃恩等明星的雕像欢迎你入场。室内的板球练习场也很棒。如果你在墨尔本，一定要来这里看看哟。感谢 Kumar786 ,"Great Melbourne Cricket Ground This is a great cricket ground with a long history. It is also a great Australian football stadium. This land has a history of about 150 years, as old as modern cricket. This may be one of the largest cricket stadiums in the world (it held 121,000 people in the record!) and it was also used in the Olympics (track and field). The stands and member corridors here are very good, and the view is very good when overlooking. Statues of stars like Li Li and Vaughan welcome you in. The indoor cricket practice range is also great. If you are in Melbourne, you must visit here. Thank Kumar786",Positive,Positive
28,"March 31, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 在一个非常棒的场地中的澳式橄榄球比赛我一直想看看这片标志性的场地，它没有让人失望。如果你想要看到除了板球以外的其他东西，那么澳式橄榄球是一个很好的选择。门票非常便宜，人很友好，视野也不错。我唯一不是很满意的是那些毫无无意义的安全检查，这种情况下，只会大大降低入场速度。总的来说，一次非常不错的体验。感谢 nesamoolian ,"I have always wanted to see this iconic venue for an Australian Rugby match in a great venue. It did not disappoint. If you want to see something other than cricket, Australian football is a good choice. Tickets are very cheap, people are friendly, and the view is good. The only thing I'm not very satisfied with is the meaningless security checks. In this case, it will only greatly reduce the speed of admission. Overall, a very good experience. Thank nesamoolian",Positive,Positive
29,"March 18, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or20-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 完美旅程我之前在英国预定的旅程本来以为会很无聊，结果事实证明我错了。我们的导游Dave非常棒，让我们的整个旅程非常有意思。他给我们讲了很多关于他的板球场的精彩故事。天气很热，记得要带水和遮阳帽。看到团队合作投掷板球太有意思了。我们在板球场享用了非常美味的午餐。如果你也热爱板球，强烈推荐你一定要参加这个旅程！感谢 cath61Derby ,"The perfect journey The journey I booked in the UK before was thought to be boring, but it turned out that I was wrong. Our guide Dave was very good and made our whole journey very interesting. He told us a lot of wonderful stories about his cricket ground. The weather is very hot, remember to bring water and a sun hat. It's so interesting to see the team work together to throw cricket. We had a very delicious lunch at the cricket ground. If you also love cricket, I strongly recommend you to join this journey! Thank cath61Derby",Positive,Positive
30,"March 4, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or30-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 过去曾经辉煌这地方在过去的20年间逐渐衰落，它的建筑风格已经过时和显得无趣。板球场也毫无生气，随时都可以参观。现在已鲜有举行板球赛事，墨尔本俱乐部将它更多地租给其他体育赛事使用。球场内的服务非常一般但价格却不敢恭维。最多值得去观看一次比赛，感受一下热烈的赛场气氛足矣。感谢 gigantor6 ,"Once glorious in the past This place has gradually declined over the past 20 years, and its architectural style has become outdated and uninteresting. The cricket ground is also lifeless and can be visited at any time. Nowadays, cricket matches are rarely held, and the Melbourne club leases it more to other sports events. The service in the stadium is very average but the price is not flattering. It is worth watching the game at most once, and it is enough to feel the warm atmosphere of the game. Thank gigantor6",Neutral,Positive
31,"January 27, 2018",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-or30-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 绝对值得一游我们从电视上看了几场板球比赛，决定放弃。比赛之前外面有很多娱乐活动，所以提早一点来。一般的入场费都非常实惠，你可以选到很好的座位。确保你抓住一个桶以加入斗头军！ ;）感谢 Minskun ,"It is definitely worth a visit. We watched a few cricket matches on TV and decided to give up. There are many entertainment activities outside before the game, so come early. The general admission fee is very affordable, and you can choose a good seat. Make sure you grab a bucket to join the fighting head army! ;) Thanks Minskun",Neutral,Positive
